10:02:22 | INFO     | root                                | ======================================================================
10:02:22 | INFO     | root                                | Logging initialized
10:02:22 | INFO     | root                                | Log directory: C:\My_practice\Text_transcription\bot_psychologist\logs
10:02:22 | INFO     | root                                | App log: logs/app/bot.log
10:02:22 | INFO     | root                                | Retrieval log: logs/retrieval/retrieval.log
10:02:22 | INFO     | root                                | Error log: logs/error/error.log
10:02:22 | INFO     | root                                | ======================================================================
10:02:22 | INFO     | api.main                            | API server starting
10:02:22 | INFO     | api.main                            | Version: 0.12.0
10:02:22 | INFO     | api.main                            | Docs: http://localhost:8000/api/docs
10:02:22 | INFO     | api.main                            | [STARTUP] runtime config validation: OK
10:02:22 | INFO     | api.registration.bootstrap          | database bootstrap complete (tables=5, api_keys_seeded=3, admin_seeded=False)
10:02:22 | INFO     | api.main                            | [WARMUP] starting warm preload
10:02:22 | INFO     | api.main                            | [GRAPH][LEGACY] disabled (ENABLE_KNOWLEDGE_GRAPH=false); retrieval source is Bot_data_base API
10:02:22 | INFO     | bot_agent.data_loader               | \U0001f4c2 KNOWLEDGE_SOURCE=api
10:02:22 | INFO     | bot_agent.semantic_memory           | [SEMANTIC] loading embedding model: intfloat/multilingual-e5-base
10:02:22 | INFO     | bot_agent.data_loader               | [API] Загрузка всех блоков из Bot_data_base через HTTP API...
10:02:24 | INFO     | bot_agent.retriever                 | [RETRIEVAL] TF-IDF loaded from cache (hash match)
10:02:25 | INFO     | bot_agent.data_loader               | [API] Найдено 1 источников в реестре
10:02:27 | INFO     | bot_agent.data_loader               | \u2705 API: 247 блоков из 1 источников загружено
10:02:27 | INFO     | bot_agent.data_loader               | [DATA_LOADER] source=api blocks=247
10:02:27 | INFO     | bot_agent.data_loader               | \u2705 Загружено: 1 документов, 247 блоков [source=api]
10:02:33 | WARNING  | huggingface_hub.utils._http         | Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
10:02:41 | INFO     | bot_agent.semantic_memory           | [SEMANTIC] embedding model loaded
10:02:41 | INFO     | api.main                            | [WARMUP] completed
10:02:48 | INFO     | api.main                            | -> GET /api/admin/runtime/effective (key: dev-key-00...)
10:02:48 | INFO     | api.main                            | <- GET /api/admin/runtime/effective | status=200 | 0.029s
INFO:     127.0.0.1:56429 - "GET /api/admin/runtime/effective HTTP/1.1" 200 OK
10:02:48 | INFO     | api.main                            | -> POST /api/v1/questions/adaptive (key: dev-key-00...)
10:02:48 | INFO     | api.identity.service                | identity.user_resolved
10:02:48 | WARNING  | api.identity.service                | identity.legacy_user_id_used
10:02:48 | INFO     | api.identity.service                | identity.session_refreshed
10:02:48 | INFO     | api.conversations.service           | conversation.resumed
10:02:48 | INFO     | api.routes.common                   | [ADAPTIVE] Adaptive question: Я как будто схлопнулся и пустой, не тяну длинные о... (user=482e11fa-2a32-4d27-836b-445889ca89fd runtime_scope=prd0475_live_session_1_pq_thread_001 session=prd0475_live_session_1_pq_thread_001)
10:02:49 | INFO     | bot_agent.multiagent.agents.agent_llm_client | [AGENT_LLM] sdk_capabilities has_responses=True has_chat_completions=True model=gpt-5-nano selected_mode=responses
10:02:52 | INFO     | bot_agent.conversation_memory       | [CONV_MEMORY] cache_miss user_id=prd0475_live_session_1_pq_thread_001
10:02:52 | INFO     | bot_agent.semantic_memory           | [SEMANTIC_MEMORY] cache_miss user_id=prd0475_live_session_1_pq_thread_001
10:02:52 | INFO     | bot_agent.semantic_memory           | Semantic memory loaded: 4 embeddings
10:02:52 | INFO     | bot_agent.conversation_memory       | [MEMORY] load_history start user_id=prd0475_live_session_1_pq_thread_001
10:02:52 | INFO     | bot_agent.conversation_memory       | [MEMORY] loaded from sqlite turns=4 user_id=prd0475_live_session_1_pq_thread_001
10:02:52 | INFO     | bot_agent.semantic_memory           | [SEMANTIC] search start user_id=prd0475_live_session_1_pq_thread_001 top_k=3 min_similarity=0.700 total_embeddings=4 exclude_last_n=1 effective_exclude=1
10:02:52 | INFO     | bot_agent.semantic_memory           | [SEMANTIC] search_pool_size=3
10:02:52 | INFO     | bot_agent.semantic_memory           | [SEMANTIC] search done user_id=prd0475_live_session_1_pq_thread_001 results=3 threshold=0.700 max_similarity=0.853
10:02:52 | INFO     | bot_agent.semantic_memory           | [SEMANTIC]   #1 turn=1 similarity=0.853
10:02:52 | INFO     | bot_agent.semantic_memory           | [SEMANTIC]   #2 turn=2 similarity=0.853
10:02:52 | INFO     | bot_agent.semantic_memory           | [SEMANTIC]   #3 turn=3 similarity=0.853
10:02:52 | INFO     | bot_agent.conversation_memory       | [CONV_MEMORY] cache_hit user_id=prd0475_live_session_1_pq_thread_001 turns=4
10:02:52 | INFO     | bot_agent.retriever                 | [RETRIEVAL] query='Я как будто схлопнулся и пустой, не тяну длинные ответы.' top_k=4 source=api
10:02:56 | INFO     | bot_agent.retriever                 | [RETRIEVAL] API search: 4 блоков
10:02:56 | INFO     | bot_agent.multiagent.agents.memory_retrieval | [MRA] rag hits=4 query='Я как будто схлопнулся и пустой, не тяну длинные о...' retrieval_source_used=api circuit_open=False
10:02:56 | INFO     | bot_agent.conversation_memory       | [CONV_MEMORY] cache_hit user_id=prd0475_live_session_1_pq_thread_001 turns=4
10:02:56 | INFO     | bot_agent.conversation_memory       | [CONV_MEMORY] cache_hit user_id=prd0475_live_session_1_pq_thread_001 turns=4
10:02:56 | INFO     | bot_agent.conversation_memory       | [CONV_MEMORY] cache_hit user_id=prd0475_live_session_1_pq_thread_001 turns=4
10:02:56 | INFO     | bot_agent.semantic_memory           | [SEMANTIC] search start user_id=prd0475_live_session_1_pq_thread_001 top_k=3 min_similarity=0.600 total_embeddings=4 exclude_last_n=1 effective_exclude=1
10:02:56 | INFO     | bot_agent.semantic_memory           | [SEMANTIC] search_pool_size=3
10:02:56 | INFO     | bot_agent.semantic_memory           | [SEMANTIC] search done user_id=prd0475_live_session_1_pq_thread_001 results=3 threshold=0.600 max_similarity=0.853
10:02:56 | INFO     | bot_agent.semantic_memory           | [SEMANTIC]   #1 turn=1 similarity=0.853
10:02:56 | INFO     | bot_agent.semantic_memory           | [SEMANTIC]   #2 turn=2 similarity=0.853
10:02:56 | INFO     | bot_agent.semantic_memory           | [SEMANTIC]   #3 turn=3 similarity=0.853
10:02:56 | INFO     | bot_agent.multiagent.agents.agent_llm_client | [AGENT_LLM] sdk_capabilities has_responses=True has_chat_completions=True model=gpt-5-mini selected_mode=responses
